model,model_tag,method,level,total_eval,compiled,correct,compilation_rate,correctness_rate,geo_mean_speedup,fast_0.0,fast_1.0,fast_2.0
Qwen2.5-Coder-7B-Instruct,qwen,zeroshot,1,10,10,9,1.0,0.9,0.9721,0.9,0.1,0.0
Qwen2.5-Coder-7B-Instruct,qwen,zeroshot,2,10,5,0,0.5,0.0,0.0,0.0,0.0,0.0
Qwen2.5-Coder-7B-Instruct,qwen,zeroshot,3,10,6,0,0.6,0.0,0.0,0.0,0.0,0.0
Qwen2.5-Coder-7B-Instruct,qwen,guided,1,10,10,10,1.0,1.0,0.9749,1.0,0.1,0.0
Qwen2.5-Coder-7B-Instruct,qwen,guided,2,10,6,0,0.6,0.0,0.0,0.0,0.0,0.0
Qwen2.5-Coder-7B-Instruct,qwen,guided,3,10,7,3,0.7,0.3,1.0071,0.3,0.2,0.0
Qwen2.5-Coder-7B-Instruct,qwen,iterative,1,10,10,9,1.0,0.9,0.9709,0.9,0.1,0.0
Qwen2.5-Coder-7B-Instruct,qwen,iterative,2,10,6,0,0.6,0.0,0.0,0.0,0.0,0.0
Qwen2.5-Coder-7B-Instruct,qwen,iterative,3,10,4,0,0.4,0.0,0.0,0.0,0.0,0.0
Qwen2.5-Coder-7B-Instruct,qwen,agentic,1,10,9,5,0.9,0.5,0.9647,0.5,0.0,0.0
Qwen2.5-Coder-7B-Instruct,qwen,agentic,2,10,9,3,0.9,0.3,0.9755,0.3,0.1,0.0
Qwen2.5-Coder-7B-Instruct,qwen,agentic,3,10,4,1,0.4,0.1,0.995,0.1,0.0,0.0
